split_type,sample_id,smiles,y_true,y_pred,in_druglike_scope,residual,absolute_error
random,AQSOL_01514,O.[K].[Li].[Ti],-5.0489116,-1.0937045,False,3.955207,3.955207
random,AQSOL_00910,F[B-](F)(F)F.F[B-](F)(F)F.F[N+]12CC[N+](CCl)(CC1)CC2,-0.3038119,-4.1769176,False,-3.8731055,3.8731055
scaffold,AQSOL_03564,C1CO[Sb]2OCCO[Sb](O1)OCCO2,-9.024974,-1.712698,False,7.312276,7.312276
scaffold,AQSOL_01266,O=C(O)CCCCCNc1nc(NCCCCCC(=O)O)nc(NCCCCCC(=O)O)n1.OCCN(CCO)CCO.OCCN(CCO)CCO.OCCN(CCO)CCO,-6.6832013,-0.5346525,False,6.148549,6.148549
scaffold,AQSOL_03168,CC(=O)O.CCN=C1C=CC(=C(c2ccc(NCC)c(C)c2)c2ccc(NCC)c(C)c2)C=C1C,-1.0232213,-7.083934,False,-6.060713,6.060713
scaffold,AQSOL_02273,CC(=O)[O-].CCN(CC)c1ccc([C+](c2ccc(N(CC)CC)cc2)c2ccc(N(CC)CC)cc2)cc1,-0.1395609,-6.187601,False,-6.0480404,6.0480404
scaffold,AQSOL_03488,COCCOCCCn1c(=O)c2c(N)c3c(=O)c4ccccc4c(=O)c3c(N)c2c1=O,-8.265049,-2.36908,True,5.895969,5.895969
scaffold,AQSOL_05528,ClC1=C(Cl)C2(Cl)C3CCC4C(CCC3C1(Cl)C2(Cl)Cl)C1(Cl)C(Cl)=C(Cl)C4(Cl)C1(Cl)Cl,-13.1719,-7.6484613,True,5.5234385,5.5234385
scaffold,AQSOL_01673,N=C(N)N.O=C(O)C1=NN(c2ccc(S(=O)(=O)O)cc2)C(=O)C1N=Nc1ccc(S(=O)(=O)O)cc1.[Cl-].[H+],-7.751247,-2.350326,False,5.400921,5.400921
scaffold,AQSOL_05516,Nc1c(S(=O)(=O)O)cc(Nc2ccc(S(=O)(=O)O)c(Nc3nc(Cl)nc(Cl)n3)c2)c2c1C(=O)c1ccccc1C2=O,0.1956,-5.1591306,True,-5.3547306,5.3547306
scaffold,AQSOL_03277,CC(=O)[O-].CCN(CC)c1ccc([C+](c2ccccc2)c2ccc(N(CC)CC)cc2)cc1,-0.647988,-5.867491,False,-5.219503,5.219503
scaffold,AQSOL_03548,CCCCC(CC)CNS(=O)(=O)c1ccc(N=Nc2c(C)c(C#N)c(=O)n(CCCC)c2O)cc1,-8.797314,-4.244899,True,4.552415,4.552415
scaffold,AQSOL_02472,CCOC(=O)/C(=N/Nc1ccc([N+](=O)[O-])cc1)C(=O)c1nn2c(nc(=O)c3ccccc32)s1,-2.2216332,-6.7039394,True,-4.4823065,4.4823065
scaffold,AQSOL_00012,Cc1cc(C)cc(O)c1.Cc1ccc(C)c(O)c1.Cc1ccc(O)c(C)c1.Cc1ccc(O)cc1C.Cc1cccc(C)c1O.Cc1cccc(O)c1C,-1.9803098,-6.32216,False,-4.34185,4.34185
scaffold,AQSOL_01317,COCCCn1c(=O)c2c(N)c3c(=O)c4ccccc4c(=O)c3c(N)c2c1=O,-7.323793,-3.10085,True,4.222943,4.222943
scaffold,AQSOL_02205,O=C(O)c1cc2ccccc2c(Cc2c(O)c(C(=O)O)cc3ccccc23)c1O.[Na],-0.9807589,-5.1750326,False,-4.194274,4.194274
scaffold,AQSOL_02541,CCNc1cc2[o+]c3cc(NCC)c(C)cc3c(-c3ccccc3C(=O)OC)c2cc1C.[Cl-],-1.3909847,-5.4432898,False,-4.052305,4.052305
scaffold,AQSOL_02395,CCOC(=O)c1ccccc1-c1c2ccc(N(CC)CC)cc2[o+]c2cc(N(CC)CC)ccc12.[Cl-],-1.2801898,-5.3027067,False,-4.022517,4.022517
scaffold,AQSOL_01481,B12B3B4B1C234,-4.742403,-0.76486707,True,3.977536,3.977536
scaffold,AQSOL_03731,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1[C@@H](NC(C)=O)CC2,-0.9482,-4.82341,True,-3.87521,3.87521
scaffold,AQSOL_07561,COc1cc2c(c(OC)c1OC)-c1ccc(OC)c(=O)cc1C(NC(C)=O)CC2,-0.94,-4.8137755,True,-3.8737755,3.8737755
scaffold,AQSOL_03881,Nc1ccc2cc3ccc(N)cc3nc2c1,0.3783,-3.4855852,True,-3.8638852,3.8638852
